movie_financial_summary_display_name,movie_financial_summary_domestic_box_office,movie_financial_summary_production_budget,movie_acting_role_display_name,movie_acting_role_billing,movie_acting_role_character_name,movie_technical_role_display_name,movie_genre_display_name,movie_source_display_name,movie_creative_type_display_name,movie_production_method_display_name,movie_sequel,movie_theatrical_release_release_date
Something Borrowed,39046489,35000000,Ginnifer Goodwin,1,Rachel,Luke Greenfield,Romantic Comedy,Based on Fiction Book/Short Story,Contemporary Fiction,Live Action,0,2011-05-06
Something Borrowed,39046489,35000000,Kate Hudson,2,Darcy,Luke Greenfield,Romantic Comedy,Based on Fiction Book/Short Story,Contemporary Fiction,Live Action,0,2011-05-06
Something Borrowed,39046489,35000000,Colin Egglesfield,3,Dex,Luke Greenfield,Romantic Comedy,Based on Fiction Book/Short Story,Contemporary Fiction,Live Action,0,2011-05-06
Something's Gotta Give,124685242,80000000,Diane Keaton,2,Erica Barry,Nancy Meyers,Romantic Comedy,Original Screenplay,Contemporary Fiction,Live Action,0,2003-12-12
Something's Gotta Give,124685242,80000000,Keanu Reeves,3,Julian,Nancy Meyers,Romantic Comedy,Original Screenplay,Contemporary Fiction,Live Action,0,2003-12-12
Something's Gotta Give,124685242,80000000,Jack Nicholson,1,Harry Sanborn,Nancy Meyers,Romantic Comedy,Original Screenplay,Contemporary Fiction,Live Action,0,2003-12-12
Somewhere,1785645,7000000,Chis Pontius,3,Sammy,Sofia Coppola,Drama,Original Screenplay,Contemporary Fiction,Live Action,0,2010-12-22
Somewhere,1785645,7000000,Stephen Dorff,1,Johnny Marco,Sofia Coppola,Drama,Original Screenplay,Contemporary Fiction,Live Action,0,2010-12-22
Somewhere,1785645,7000000,Elle Fanning,2,Cleo,Sofia Coppola,Drama,Original Screenplay,Contemporary Fiction,Live Action,0,2010-12-22
Soul Surfer,43853424,18000000,AnnaSophia Robb,1,Bethany Hamilton,David Zelon,Drama,Based on Factual Book/Article,Dramatization,Live Action,0,2011-04-08
Soul Surfer,43853424,18000000,Helen Hunt,2,Cheri Hamilton,David Zelon,Drama,Based on Factual Book/Article,Dramatization,Live Action,0,2011-04-08
Soul Surfer,43853424,18000000,Dennis Quaid,3,Tom Hamilton,David Zelon,Drama,Based on Factual Book/Article,Dramatization,Live Action,0,2011-04-08
Source Code,54712227,32000000,Michelle Monaghan,2,Christina,John Papsidera,Thriller/Suspense,Original Screenplay,Science Fiction,Live Action,0,2011-04-01
Source Code,54712227,32000000,Vera Farmiga,3,Goodwin,John Papsidera,Thriller/Suspense,Original Screenplay,Science Fiction,Live Action,0,2011-04-01
Source Code,54712227,32000000,Jake Gyllenhall,1,Colter,John Papsidera,Thriller/Suspense,Original Screenplay,Science Fiction,Live Action,0,2011-04-01
Space Jam,90463534,80000000,T.K. Carter,3,Monstar Nawt,Joe Pytka,Comedy,Original Screenplay,Kids Fiction,Animation/Live Action,0,1996-11-15
Space Jam,90463534,80000000,Michael Jordan,1,Himself,Joe Pytka,Comedy,Original Screenplay,Kids Fiction,Animation/Live Action,0,1996-11-15
Space Jam,90463534,80000000,Bill Murray,2,Himself,Joe Pytka,Comedy,Original Screenplay,Kids Fiction,Animation/Live Action,0,1996-11-15
Spanglish,42044321,75000000,Tea Leoni,2,Deborah Clasky,James L. Brooks,Comedy,Original Screenplay,Contemporary Fiction,Live Action,0,2004-12-17
Spanglish,42044321,75000000,Paz Vega,3,Flor,James L. Brooks,Comedy,Original Screenplay,Contemporary Fiction,Live Action,0,2004-12-17
Spanglish,42044321,75000000,Adam Sandler,1,John Clasky,James L. Brooks,Comedy,Original Screenplay,Contemporary Fiction,Live Action,0,2004-12-17
Sparkle,24397469,10000000,Whitney Houston,2,Emma,Salim Akil,Drama,Remake,Historical Fiction,Live Action,0,2012-08-17
Sparkle,24397469,10000000,Jordin Sparks,1,Sparkle,Salim Akil,Drama,Remake,Historical Fiction,Live Action,0,2012-08-17
Sparkle,24397469,10000000,Derek Luke,3,Stix,Salim Akil,Drama,Remake,Historical Fiction,Live Action,0,2012-08-17
Sphere,37068294,73000000,Dustin Hoffman,1,Norman ,Barry Levinson,Horror,Based on Fiction Book/Short Story,Science Fiction,Live Action,0,1998-02-13
Sphere,37068294,73000000,Sharon Stone,2,Beth ,Barry Levinson,Horror,Based on Fiction Book/Short Story,Science Fiction,Live Action,0,1998-02-13
Sphere,37068294,73000000,Samuel L. Jackson,3,Harry ,Barry Levinson,Horror,Based on Fiction Book/Short Story,Science Fiction,Live Action,0,1998-02-13
Spider-Man,403706375,139000000,Willem Dafoe,2,Green Goblin/Norman Osborn,Danny Elfman,Adventure,Based on Comic/Graphic Novel,Super Hero,Live Action,0,2002-05-03
Spider-Man,403706375,139000000,Kirsten Dunst,3,Mary Jane Watson,Danny Elfman,Adventure,Based on Comic/Graphic Novel,Super Hero,Live Action,0,2002-05-03
Spider-Man,403706375,139000000,Tobey Maguire,1,Spider-Man/Peter Parker,Danny Elfman,Adventure,Based on Comic/Graphic Novel,Super Hero,Live Action,0,2002-05-03
Spider-Man 2,373524485,200000000,Tobey Maguire,1,Spider-Man/Peter Parker,Danny Elfman,Adventure,Based on Comic/Graphic Novel,Super Hero,Live Action,1,2004-06-30
Spider-Man 2,373524485,200000000,Kirsten Dunst,2,Mary Jane Watson,Danny Elfman,Adventure,Based on Comic/Graphic Novel,Super Hero,Live Action,1,2004-06-30
Spider-Man 2,373524485,200000000,James Franco,3,Harry Osborne,Danny Elfman,Adventure,Based on Comic/Graphic Novel,Super Hero,Live Action,1,2004-06-30
Spider-Man 3,336530303,258000000,Tobey Maguire,1,Spider-Man/Peter Parker,Christopher Young,Adventure,Based on Comic/Graphic Novel,Super Hero,Live Action,1,2007-05-04
Spider-Man 3,336530303,258000000,Kirsten Dunst,2,Mary Jane Watson,Christopher Young,Adventure,Based on Comic/Graphic Novel,Super Hero,Live Action,1,2007-05-04
Spider-Man 3,336530303,258000000,James Franco,3,New Goblin/Harry Osborn,Christopher Young,Adventure,Based on Comic/Graphic Novel,Super Hero,Live Action,1,2007-05-04
Spirit: Stallion of the Cimarron,73215310,80000000,James Cromwell,2,The Colonel,Kelly Asbury,Adventure,Original Screenplay,Kids Fiction,Hand Animation,0,2002-05-24
Spirit: Stallion of the Cimarron,73215310,80000000,Matt Damon,1,Spirit,Kelly Asbury,Adventure,Original Screenplay,Kids Fiction,Hand Animation,0,2002-05-24
Spirit: Stallion of the Cimarron,73215310,80000000,Daniel Studi,3,Little Creek,Kelly Asbury,Adventure,Original Screenplay,Kids Fiction,Hand Animation,0,2002-05-24
Spirited Away,10049886,19000000,Daveigh Chase,1,Chihiro ,Hayao Miyazaki,Adventure,Original Screenplay,Fantasy,Hand Animation,0,2002-09-20
Spirited Away,10049886,19000000,Suzanne Pleshette,2,Yubaba/Zeniba,Hayao Miyazaki,Adventure,Original Screenplay,Fantasy,Hand Animation,0,2002-09-20
Spirited Away,10049886,19000000,Sara Egan,3,Lin,Hayao Miyazaki,Adventure,Original Screenplay,Fantasy,Hand Animation,0,2002-09-20
Splash,62599495,8000000,Eugene Levy,3,Walter Kornbluth,Ron Howard,Comedy,Original Screenplay,Fantasy,Live Action,0,1984-03-09
Splash,62599495,8000000,Tom Hanks,1,Allen Bauer,Ron Howard,Comedy,Original Screenplay,Fantasy,Live Action,0,1984-03-09
Splash,62599495,8000000,Daryl Hannah,2,Madison,Ron Howard,Comedy,Original Screenplay,Fantasy,Live Action,0,1984-03-09
Splice,17010170,30000000,Adrien Brody,1,Clive Nicoli,,Horror,Original Screenplay,Science Fiction,Animation/Live Action,0,2010-06-04
Splice,17010170,30000000,Sarah Polley,2,Elsa Cast,,Horror,Original Screenplay,Science Fiction,Animation/Live Action,0,2010-06-04
Splice,17010170,30000000,Delphine Chaneac,3,Dren,,Horror,Original Screenplay,Science Fiction,Animation/Live Action,0,2010-06-04
Spring Breakers,14124286,5000000,Vanessa Hudgens,3,Candy,Harmony Korine,Thriller/Suspense,Original Screenplay,Contemporary Fiction,Live Action,0,2013-03-15
Spring Breakers,14124286,5000000,James Franco,1,Alien,Harmony Korine,Thriller/Suspense,Original Screenplay,Contemporary Fiction,Live Action,0,2013-03-15
Spring Breakers,14124286,5000000,Selena Gomez,2,Faith,Harmony Korine,Thriller/Suspense,Original Screenplay,Contemporary Fiction,Live Action,0,2013-03-15
Spy Kids,112692062,35000000,Antonio Banderas,1,Gregorio Cortez,Robert Rodriguez,Adventure,Original Screenplay,Kids Fiction,Live Action,0,2001-03-30
Spy Kids,112692062,35000000,Carla Gugino,2,Ingrid Cortez,Robert Rodriguez,Adventure,Original Screenplay,Kids Fiction,Live Action,0,2001-03-30
Spy Kids,112692062,35000000,Alexa Vega,3,Carmen Cortez,Robert Rodriguez,Adventure,Original Screenplay,Kids Fiction,Live Action,0,2001-03-30
Spy Kids: All the Time in the World,38536376,27000000,Rowen Blanchard,3,Rebecca Wilson,Robert Rodriguez,Adventure,Original Screenplay,Kids Fiction,Live Action,1,2011-08-19
Spy Kids: All the Time in the World,38536376,27000000,Jessica Alba,1,Marissa Cortez Wilson,Robert Rodriguez,Adventure,Original Screenplay,Kids Fiction,Live Action,1,2011-08-19
Spy Kids: All the Time in the World,38536376,27000000,Joel McHale,2,Wilbur Wilson,Robert Rodriguez,Adventure,Original Screenplay,Kids Fiction,Live Action,1,2011-08-19
St. Trinian's,15000,11400000,Rupert Everett,1,Miss Fritton,,Comedy,Remake,Contemporary Fiction,Live Action,0,2009-10-09
St. Trinian's,15000,11400000,Colin Firth,2,Geoffrey Thwaites,,Comedy,Remake,Contemporary Fiction,Live Action,0,2009-10-09
St. Trinian's,15000,11400000,Jodie Whittaker,3,Beverly,,Comedy,Remake,Contemporary Fiction,Live Action,0,2009-10-09
Star Trek Into Darkness,228778661,190000000,John Cho,1,Hikaru Sulu,J.J. Abrams,Adventure,Based on TV,Science Fiction,Live Action,1,2013-05-16
Star Trek Into Darkness,228778661,190000000,Alice Eve,3,Dr. Carol Marcus,J.J. Abrams,Adventure,Based on TV,Science Fiction,Live Action,1,2013-05-16
Star Trek Into Darkness,228778661,190000000,Benedict Cumberbatch,2,John Harris,J.J. Abrams,Adventure,Based on TV,Science Fiction,Live Action,1,2013-05-16
Star Wars Ep. I: The Phantom Menace,474544677,115000000,Liam Neeson,1,Qui-Gon Jinn,George Lucas,Adventure,Original Screenplay,Science Fiction,Animation/Live Action,1,1999-05-19
Star Wars Ep. I: The Phantom Menace,474544677,115000000,Ewan McGregor,2,Obi-Wan Kenobi,George Lucas,Adventure,Original Screenplay,Science Fiction,Animation/Live Action,1,1999-05-19
Star Wars Ep. I: The Phantom Menace,474544677,115000000,Natalie Portman,3,Queen Amidala Padme Naberrie,George Lucas,Adventure,Original Screenplay,Science Fiction,Animation/Live Action,1,1999-05-19
Star Wars Ep. II: Attack of the Clones,310676740,115000000,Natalie Portman,2,Senator Padme Amidala,George Lucas,Adventure,Original Screenplay,Science Fiction,Animation/Live Action,1,2002-05-16
Star Wars Ep. II: Attack of the Clones,310676740,115000000,Hayden Christensen,3,Anakin Skywalker,George Lucas,Adventure,Original Screenplay,Science Fiction,Animation/Live Action,1,2002-05-16
Star Wars Ep. II: Attack of the Clones,310676740,115000000,Ewan McGregor,1,Obi-Wan Kenobi,George Lucas,Adventure,Original Screenplay,Science Fiction,Animation/Live Action,1,2002-05-16
Star Wars Ep. III: Revenge of the Sith,380270577,115000000,Ewan McGregor,1,Obi-Wan Kenobi,George Lucas,Adventure,Original Screenplay,Science Fiction,Animation/Live Action,1,2005-05-19
Star Wars Ep. III: Revenge of the Sith,380270577,115000000,Natalie Portman,2,Padmé Amidala,George Lucas,Adventure,Original Screenplay,Science Fiction,Animation/Live Action,1,2005-05-19
Star Wars Ep. III: Revenge of the Sith,380270577,115000000,Hayden Christensen,3,Anakin Skywalker/Darth Vader,George Lucas,Adventure,Original Screenplay,Science Fiction,Animation/Live Action,1,2005-05-19
Star Wars Ep. IV: A New Hope,460998007,11000000,Harrison Ford,2,Han Solo,George Lucas,Adventure,Original Screenplay,Science Fiction,Live Action,0,1978-07-21
Star Wars Ep. IV: A New Hope,460998007,11000000,Mark Hamill,1,Luke Skywalker,George Lucas,Adventure,Original Screenplay,Science Fiction,Live Action,0,1978-07-21
Star Wars Ep. IV: A New Hope,460998007,11000000,Carrie Fisher,3,Princess Leia Organa,George Lucas,Adventure,Original Screenplay,Science Fiction,Live Action,0,1978-07-21
Star Wars: The Clone Wars,35161554,8500000,Matt Lanter,1,Anakin Skywalker,Dave Filoni,Adventure,Original Screenplay,Science Fiction,Digital Animation,1,2008-08-15
Star Wars: The Clone Wars,35161554,8500000,James Arnold Taylor,3,Obi-Wan Kenobi/4-A7/Medical Droid,Dave Filoni,Adventure,Original Screenplay,Science Fiction,Digital Animation,1,2008-08-15
Star Wars: The Clone Wars,35161554,8500000,Ashley Eckstein,2,Ahsoka Tano,Dave Filoni,Adventure,Original Screenplay,Science Fiction,Digital Animation,1,2008-08-15
Starsky & Hutch,88200225,60000000,Ben Stiller,1,David Starsky,Todd Phillips,Comedy,Based on TV,Historical Fiction,Live Action,0,2004-03-05
Starsky & Hutch,88200225,60000000,Owen Wilson,2,Ken Huchinson,Todd Phillips,Comedy,Based on TV,Historical Fiction,Live Action,0,2004-03-05
Starsky & Hutch,88200225,60000000,Snoop Dogg,3,Huggy Bear,Todd Phillips,Comedy,Based on TV,Historical Fiction,Live Action,0,2004-03-05
Step Brothers,100468793,65000000,Will Ferrell,1,Brennan Huff,Adam McKay,Comedy,Original Screenplay,Contemporary Fiction,Live Action,0,2008-07-25
Step Brothers,100468793,65000000,John C. Reilly,2,Dale Doback,Adam McKay,Comedy,Original Screenplay,Contemporary Fiction,Live Action,0,2008-07-25
Step Brothers,100468793,65000000,Mary Steenburgen,3,Nancy Huff,Adam McKay,Comedy,Original Screenplay,Contemporary Fiction,Live Action,0,2008-07-25
Step Up Revolution,35074677,33000000,Ryan Guzman,1,Sean,Scott Speer,Drama,Original Screenplay,Contemporary Fiction,Live Action,1,2012-07-27
Step Up Revolution,35074677,33000000,Kathryn McCormick,2,Emily,Scott Speer,Drama,Original Screenplay,Contemporary Fiction,Live Action,1,2012-07-27
Step Up Revolution,35074677,33000000,Misha Gabriel,3,Eddy,Scott Speer,Drama,Original Screenplay,Contemporary Fiction,Live Action,1,2012-07-27
Stigmata,50041732,32000000,Jonathan Pryce,3,Cardinal Daniel Houseman,Rupert Wainwright,Horror,Original Screenplay,Contemporary Fiction,Live Action,0,1999-09-10
Stigmata,50041732,32000000,Patricia Arquette,1,Frankie Paige,Rupert Wainwright,Horror,Original Screenplay,Contemporary Fiction,Live Action,0,1999-09-10
Stigmata,50041732,32000000,Gabriel Byrne,2,Father Andrew Kiernan,Rupert Wainwright,Horror,Original Screenplay,Contemporary Fiction,Live Action,0,1999-09-10
Stone,1810078,22000000,Milla Jovovich,3,Lucetta,Angus MacLachlan,Drama,Original Screenplay,Contemporary Fiction,Live Action,0,2010-10-08
Stone,1810078,22000000,Edward Norton,2,Gerald Creeson,Angus MacLachlan,Drama,Original Screenplay,Contemporary Fiction,Live Action,0,2010-10-08
Stone,1810078,22000000,Robert De Niro,1,Jack Mabry ,Angus MacLachlan,Drama,Original Screenplay,Contemporary Fiction,Live Action,0,2010-10-08
Stonewall,304602,2000000,Guillermo Diaz,1,LaMiranda,Michael Kamen,Drama,Based on Real Life Events,Dramatization,Live Action,0,1996-07-26
Stonewall,304602,2000000,Fred Weller,2,Matty Dean,Michael Kamen,Drama,Based on Real Life Events,Dramatization,Live Action,0,1996-07-26
Stonewall,304602,2000000,Brendan Corbalis,3,Ethan,Michael Kamen,Drama,Based on Real Life Events,Dramatization,Live Action,0,1996-07-26
Straw Dogs,10324441,25000000,James Marsden,1,David Sumner,Rod Lurie,Thriller/Suspense,Remake,Contemporary Fiction,Live Action,0,2011-09-16
Straw Dogs,10324441,25000000,Kate Bosworth,2,Amy Sumner,Rod Lurie,Thriller/Suspense,Remake,Contemporary Fiction,Live Action,0,2011-09-16
Straw Dogs,10324441,25000000,Alexander Skarsgård,3,Charlie,Rod Lurie,Thriller/Suspense,Remake,Contemporary Fiction,Live Action,0,2011-09-16
Stuart Little,140015224,105000000,Geena Davis,1,Mrs. Little,Rob Minkoff,Comedy,Based on Fiction Book/Short Story,Kids Fiction,Live Action,0,1999-12-17
Stuart Little,140015224,105000000,Hugh Laurie,2,Mr. Little,Rob Minkoff,Comedy,Based on Fiction Book/Short Story,Kids Fiction,Live Action,0,1999-12-17
Stuart Little,140015224,105000000,Jonathan Lipnicki,3,George Little,Rob Minkoff,Comedy,Based on Fiction Book/Short Story,Kids Fiction,Live Action,0,1999-12-17
Submarine,467602,1900000,Noah Taylor,3,Lloyd Tate,Richard Ayoade,Comedy,Based on Fiction Book/Short Story,Contemporary Fiction,Live Action,0,2011-06-03
Submarine,467602,1900000,Craig Roberts,1,Oliver Tate,Richard Ayoade,Comedy,Based on Fiction Book/Short Story,Contemporary Fiction,Live Action,0,2011-06-03
Submarine,467602,1900000,Yasmin Paige,2,Jordana Bevan,Richard Ayoade,Comedy,Based on Fiction Book/Short Story,Contemporary Fiction,Live Action,0,2011-06-03
Sucker Punch,36392502,75000000,Abbie Cornish,2,Sweet Pea,Zack Snyder,Action,Original Screenplay,Fantasy,Live Action,0,2011-03-25
Sucker Punch,36392502,75000000,Emily Browning,1,Babydoll,Zack Snyder,Action,Original Screenplay,Fantasy,Live Action,0,2011-03-25
Sucker Punch,36392502,75000000,Jena Malone,3,Rocket,Zack Snyder,Action,Original Screenplay,Fantasy,Live Action,0,2011-03-25
Super,327716,2500000,Rainn Wilson,1,Frank Darbo,James Gunn,Black Comedy,Original Screenplay,Contemporary Fiction,Live Action,0,2011-04-01
Super,327716,2500000,Ellen Page,2,Libby,James Gunn,Black Comedy,Original Screenplay,Contemporary Fiction,Live Action,0,2011-04-01
Super,327716,2500000,Liv Tyler,3,Sarah,James Gunn,Black Comedy,Original Screenplay,Contemporary Fiction,Live Action,0,2011-04-01
Super 8,127004179,50000000,Kyle Chandler,1,Jackson Lamb,Steven Spielberg,Thriller/Suspense,Original Screenplay,Science Fiction,Live Action,0,2011-06-10
Super 8,127004179,50000000,Elle Fanning,2,Alice Dainard,Steven Spielberg,Thriller/Suspense,Original Screenplay,Science Fiction,Live Action,0,2011-06-10
Super 8,127004179,50000000,Joel Courtney,3,Joe Lamb,Steven Spielberg,Thriller/Suspense,Original Screenplay,Science Fiction,Live Action,0,2011-06-10
Superbad,121463226,17500000,Jonah Hill,1,Seth,Greg Mottola,Comedy,Original Screenplay,Contemporary Fiction,Live Action,0,2007-08-17
Superbad,121463226,17500000,Michael Cera,2,Evan,Greg Mottola,Comedy,Original Screenplay,Contemporary Fiction,Live Action,0,2007-08-17
Superbad,121463226,17500000,Christopher Mintz-Plasse,3,Fogell,Greg Mottola,Comedy,Original Screenplay,Contemporary Fiction,Live Action,0,2007-08-17
Superman Returns,200120000,232000000,Brandon Routh,1,Clark Kent/Superman,Bryan Singer,Adventure,Based on Comic/Graphic Novel,Super Hero,Live Action,0,2006-06-28
Superman Returns,200120000,232000000,Kate Bosworth,2,Lois Lane,Bryan Singer,Adventure,Based on Comic/Graphic Novel,Super Hero,Live Action,0,2006-06-28
Superman Returns,200120000,232000000,James Marsden,3,Richard White,Bryan Singer,Adventure,Based on Comic/Graphic Novel,Super Hero,Live Action,0,2006-06-28
