movie_financial_summary_display_name,movie_financial_summary_domestic_box_office,movie_financial_summary_production_budget,movie_acting_role_display_name,movie_acting_role_billing,movie_acting_role_character_name,movie_technical_role_display_name,movie_genre_display_name,movie_source_display_name,movie_creative_type_display_name,movie_production_method_display_name,movie_sequel,movie_theatrical_release_release_date
A Single Man,9176000,7000000,Colin Firth,1,,,Drama,Based on Fiction Book/Short Story,Historical Fiction,Live Action,0,2009-12-11
A Time to Kill,108766007,40000000,Samuel L. Jackson,2,Carl Lee Hailey,Joel Schumacher,Drama,Based on Fiction Book/Short Story,Contemporary Fiction,Live Action,0,1996-07-24
A Time to Kill,108766007,40000000,Matthew McConaughey,3,Jake Brigance,Joel Schumacher,Drama,Based on Fiction Book/Short Story,Contemporary Fiction,Live Action,0,1996-07-24
A Time to Kill,108766007,40000000,Sandra Bullock,1,Ellen Roark,Joel Schumacher,Drama,Based on Fiction Book/Short Story,Contemporary Fiction,Live Action,0,1996-07-24
A Very Harold & Kumar 3D Christmas,35061031,20000000,Neil Patrick Harris,3,Neil Patrick Harris,Todd Strauss-Schulson,Comedy,Original Screenplay,Fantasy,Live Action,1,2011-11-04
A Very Harold & Kumar 3D Christmas,35061031,20000000,John Cho,1,Harold Lee,Todd Strauss-Schulson,Comedy,Original Screenplay,Fantasy,Live Action,1,2011-11-04
A Very Harold & Kumar 3D Christmas,35061031,20000000,Kal Penn,2,Kumar Patel,Todd Strauss-Schulson,Comedy,Original Screenplay,Fantasy,Live Action,1,2011-11-04
Abduction,28087155,35000000,Taylor Lautner,1,Nathan,John Singleton,Thriller/Suspense,Original Screenplay,Contemporary Fiction,Live Action,0,2011-09-23
Abduction,28087155,35000000,Lily Collins,2,Karen,John Singleton,Thriller/Suspense,Original Screenplay,Contemporary Fiction,Live Action,0,2011-09-23
Abduction,28087155,35000000,Alfred Molina,3,Burton,John Singleton,Thriller/Suspense,Original Screenplay,Contemporary Fiction,Live Action,0,2011-09-23
About Time,14688323,12000000,Rachel McAdams,2,Mary,Richard Curtis,Romantic Comedy,Original Screenplay,Science Fiction,Live Action,0,2013-11-01
About Time,14688323,12000000,Bill Nighy,3,Dad,Richard Curtis,Romantic Comedy,Original Screenplay,Science Fiction,Live Action,0,2013-11-01
About Time,14688323,12000000,Domhnall Gleeson,1,Tim,Richard Curtis,Romantic Comedy,Original Screenplay,Science Fiction,Live Action,0,2013-11-01
Abraham Lincoln: Vampire Hunter,37519139,67500000,Benjamin Walker,1,Abraham Lincoln,Timur Bekmambetov,Horror,Based on Fiction Book/Short Story,Fantasy,Live Action,0,2012-06-22
Abraham Lincoln: Vampire Hunter,37519139,67500000,Dominic Cooper,2,Henry Sturgess,Timur Bekmambetov,Horror,Based on Fiction Book/Short Story,Fantasy,Live Action,0,2012-06-22
Abraham Lincoln: Vampire Hunter,37519139,67500000,Anthony Mackie,3,Will,Timur Bekmambetov,Horror,Based on Fiction Book/Short Story,Fantasy,Live Action,0,2012-06-22
Act of Valor,70012847,12000000,Roselyn Sanchez,1,Agent Morales,Mike McCoy,Action,Original Screenplay,Contemporary Fiction,Live Action,0,2012-02-24
Act of Valor,70012847,12000000,Alex Veadov,2,,Mike McCoy,Action,Original Screenplay,Contemporary Fiction,Live Action,0,2012-02-24
Act of Valor,70012847,12000000,Jason Cottle,3,,Mike McCoy,Action,Original Screenplay,Contemporary Fiction,Live Action,0,2012-02-24
Admission,18007317,13000000,Tina Fey,1,Portia Nathan,Paul Weitz,Romantic Comedy,Original Screenplay,Contemporary Fiction,Live Action,0,2013-03-22
Admission,18007317,13000000,Paul Rudd,2,John Halsey,Paul Weitz,Romantic Comedy,Original Screenplay,Contemporary Fiction,Live Action,0,2013-03-22
Admission,18007317,13000000,Michael Sheen,3,Mark,Paul Weitz,Romantic Comedy,Original Screenplay,Contemporary Fiction,Live Action,0,2013-03-22
Alexander,34297191,155000000,Val Kilmer,3,Philip,Oliver Stone,Adventure,Based on Real Life Events,Dramatization,Live Action,0,2004-11-24
Alexander,34297191,155000000,Angelina Jolie,2,Olympias,Oliver Stone,Adventure,Based on Real Life Events,Dramatization,Live Action,0,2004-11-24
Alexander,34297191,155000000,Colin Farrell,1,Alexander the Great,Oliver Stone,Adventure,Based on Real Life Events,Dramatization,Live Action,0,2004-11-24
Ali,58183966,109000000,Jon Voight,3,Howard Cosell,Michael Mann,Drama,Based on Real Life Events,Dramatization,Live Action,0,2001-12-25
Ali,58183966,109000000,Jamie Foxx,2,Drew 'Bundini' Brown,Michael Mann,Drama,Based on Real Life Events,Dramatization,Live Action,0,2001-12-25
Ali,58183966,109000000,Will Smith,1,Muhammad Ali,Michael Mann,Drama,Based on Real Life Events,Dramatization,Live Action,0,2001-12-25
Alice in Wonderland,334191110,200000000,Johnny Depp,1,Mad Hatter,Tim Burton,Adventure,Based on Fiction Book/Short Story,Fantasy,Animation/Live Action,0,2010-03-05
Alice in Wonderland,334191110,200000000,Mia Wasikowska,2,Alice,Tim Burton,Adventure,Based on Fiction Book/Short Story,Fantasy,Animation/Live Action,0,2010-03-05
Alice in Wonderland,334191110,200000000,Helena Bonham Carter,3,Red Queen,Tim Burton,Adventure,Based on Fiction Book/Short Story,Fantasy,Animation/Live Action,0,2010-03-05
Alive,36299670,32000000,Vincent Spano,2,Antonio Balbi,Frank Marshall,Adventure,Based on Fiction Book/Short Story,Dramatization,Live Action,0,1993-01-15
Alive,36299670,32000000,Josh Hamilton,3,Roberto Canessa,Frank Marshall,Adventure,Based on Fiction Book/Short Story,Dramatization,Live Action,0,1993-01-15
Alive,36299670,32000000,Ethan Hawke,1,Nando Parrado,Frank Marshall,Adventure,Based on Fiction Book/Short Story,Dramatization,Live Action,0,1993-01-15
All Good Things,582024,20000000,Ryan Gosling,1,David Marks,Marc Smerling,Drama,Original Screenplay,Contemporary Fiction,Live Action,0,2010-12-03
All Good Things,582024,20000000,Frank Langella,3,Sanford Marks,Marc Smerling,Drama,Original Screenplay,Contemporary Fiction,Live Action,0,2010-12-03
All Good Things,582024,20000000,Kirsten Dunst,2,Katie McCarthy,Marc Smerling,Drama,Original Screenplay,Contemporary Fiction,Live Action,0,2010-12-03
Along Came Polly,88073507,42000000,Philip Seymour Hoffman,3,Sandy,Theodore Shapiro,Romantic Comedy,Original Screenplay,Contemporary Fiction,Live Action,0,2004-01-16
Along Came Polly,88073507,42000000,Jennifer Aniston,2,Polly Prince,Theodore Shapiro,Romantic Comedy,Original Screenplay,Contemporary Fiction,Live Action,0,2004-01-16
Along Came Polly,88073507,42000000,Ben Stiller,1,Ruben,Theodore Shapiro,Romantic Comedy,Original Screenplay,Contemporary Fiction,Live Action,0,2004-01-16
Alpha and Omega 3D,25107267,20000000,Christina Ricci,3,Lilly,Anthony Bell,Adventure,Original Screenplay,Kids Fiction,Digital Animation,0,2010-09-17
Alpha and Omega 3D,25107267,20000000,Justin Long,1,Humphrey,Anthony Bell,Adventure,Original Screenplay,Kids Fiction,Digital Animation,0,2010-09-17
Alpha and Omega 3D,25107267,20000000,Hayden Panettiere,2,Kate,Anthony Bell,Adventure,Original Screenplay,Kids Fiction,Digital Animation,0,2010-09-17
Alvin and the Chipmunks,217326974,55000000,Cameron Richardson,3,Claire,Tim Hill,Comedy,Based on TV,Kids Fiction,Animation/Live Action,0,2007-12-14
Alvin and the Chipmunks,217326974,55000000,David Cross,2,Ian Hawk,Tim Hill,Comedy,Based on TV,Kids Fiction,Animation/Live Action,0,2007-12-14
Alvin and the Chipmunks,217326974,55000000,Jason Lee,1,Dave Seville,Tim Hill,Comedy,Based on TV,Kids Fiction,Animation/Live Action,0,2007-12-14
American Gangster,130164645,100000000,Chiwetel Ejiofor,3,Huey Lucas,Ridley Scott,Drama,Based on Factual Book/Article,Dramatization,Live Action,0,2007-11-02
American Gangster,130164645,100000000,Russell Crowe,2,Detective Richie Roberts,Ridley Scott,Drama,Based on Factual Book/Article,Dramatization,Live Action,0,2007-11-02
American Gangster,130164645,100000000,Denzel Washington,1,Frank Lucas,Ridley Scott,Drama,Based on Factual Book/Article,Dramatization,Live Action,0,2007-11-02
American Reunion,56758835,50000000,Chris Klein,3,Oz,Jon Hurwitz,Comedy,Original Screenplay,Contemporary Fiction,Live Action,1,2012-04-06
American Reunion,56758835,50000000,Jason Biggs,1,Jim Levenstein,Jon Hurwitz,Comedy,Original Screenplay,Contemporary Fiction,Live Action,1,2012-04-06
American Reunion,56758835,50000000,Alyson Hannigan,2,Michelle,Jon Hurwitz,Comedy,Original Screenplay,Contemporary Fiction,Live Action,1,2012-04-06
Amigo,184705,1500000,Chris Cooper,3,Colonel Hardacre,John Sayles,Drama,Based on Real Life Events,Historical Fiction,Live Action,0,2011-08-19
Amigo,184705,1500000,Joel Torre,1,Rafael,John Sayles,Drama,Based on Real Life Events,Historical Fiction,Live Action,0,2011-08-19
Amistad,44229441,40000000,Djimon Hounsou,3,Cinque,Steven Spielberg,Drama,Based on Real Life Events,Dramatization,Live Action,0,1997-12-12
Amistad,44229441,40000000,Anthony Hopkins,2,John Quincy Adams,Steven Spielberg,Drama,Based on Real Life Events,Dramatization,Live Action,0,1997-12-12
Amistad,44229441,40000000,Morgan Freeman,1,Theodore Joadson,Steven Spielberg,Drama,Based on Real Life Events,Dramatization,Live Action,0,1997-12-12
Amour,6738954,9700000,Jean-Louis Trintignant,1,Georges,Michael Haneke,Drama,Original Screenplay,Contemporary Fiction,Live Action,0,2012-12-19
Amour,6738954,9700000,Emmanuelle Riva,2,Anne,Michael Haneke,Drama,Original Screenplay,Contemporary Fiction,Live Action,0,2012-12-19
Amour,6738954,9700000,Isabelle Huppert,3,Eva,Michael Haneke,Drama,Original Screenplay,Contemporary Fiction,Live Action,0,2012-12-19
An Everlasting Piece,75078,4000000,Anna Friel,3,Bronagh,Barry Levinson,,,,,0,2000-12-22
An Everlasting Piece,75078,4000000,Brian F. O'Byrne,2,George,Barry Levinson,,,,,0,2000-12-22
An Everlasting Piece,75078,4000000,Barry McEvoy,1,Colm,Barry Levinson,,,,,0,2000-12-22
Anchorman: The Legend of Ron Burgundy,84136909,25000000,Paul Rudd,3,Brian Fantana,Adam McKay,Comedy,Original Screenplay,Historical Fiction,Live Action,0,2004-07-09
Anchorman: The Legend of Ron Burgundy,84136909,25000000,Christina Applegate,2,Veronica Corningstone,Adam McKay,Comedy,Original Screenplay,Historical Fiction,Live Action,0,2004-07-09
Anchorman: The Legend of Ron Burgundy,84136909,25000000,Will Ferrell,1,Ron Burgundy,Adam McKay,Comedy,Original Screenplay,Historical Fiction,Live Action,0,2004-07-09
Angels & Demons,133375846,150000000,Ewan McGregor,2,Camerlengo,Ron Howard,Thriller/Suspense,Based on Fiction Book/Short Story,Contemporary Fiction,Live Action,1,2009-05-15
Angels & Demons,133375846,150000000,Ayelet Zurer,3,Vittoria Vetra,Ron Howard,Thriller/Suspense,Based on Fiction Book/Short Story,Contemporary Fiction,Live Action,1,2009-05-15
Angels & Demons,133375846,150000000,Tom Hanks,1,Robert Langdon,Ron Howard,Thriller/Suspense,Based on Fiction Book/Short Story,Contemporary Fiction,Live Action,1,2009-05-15
Anger Management,135560942,56000000,Adam Sandler,1,Dave Buznik,Peter Segal,Comedy,Original Screenplay,Contemporary Fiction,Live Action,0,2003-04-11
Anger Management,135560942,56000000,Jack Nicholson,2,Dr. Buddy Rydell,Peter Segal,Comedy,Original Screenplay,Contemporary Fiction,Live Action,0,2003-04-11
Anger Management,135560942,56000000,Marisa Tomei,3,Linda,Peter Segal,Comedy,Original Screenplay,Contemporary Fiction,Live Action,0,2003-04-11
Animal Kingdom,1044039,4200000,Ben Mendelsohn,1,Andrew Cody,Liz Watts,Drama,Original Screenplay,Contemporary Fiction,Live Action,0,2010-08-13
Animal Kingdom,1044039,4200000,Joel Edgerton,2,Barry Brown,Liz Watts,Drama,Original Screenplay,Contemporary Fiction,Live Action,0,2010-08-13
Animal Kingdom,1044039,4200000,Guy Pearce,3,Det. Senior Sgt. Nathan Leckie,Liz Watts,Drama,Original Screenplay,Contemporary Fiction,Live Action,0,2010-08-13
Anonymous,4463292,27500000,Edward Hogg,3,Robert Cecil,Roland Emmerich,Thriller/Suspense,Original Screenplay,Historical Fiction,Live Action,0,2011-10-28
Anonymous,4463292,27500000,Vanessa Redgrave,2,Queen Elizabeth I,Roland Emmerich,Thriller/Suspense,Original Screenplay,Historical Fiction,Live Action,0,2011-10-28
Anonymous,4463292,27500000,Rhys Ifans,1,Earl of Oxford,Roland Emmerich,Thriller/Suspense,Original Screenplay,Historical Fiction,Live Action,0,2011-10-28
Another Earth,1321194,175000,William Mapother,1,John Burroughs,Mike Cahill,Drama,Original Screenplay,Science Fiction,Live Action,0,2011-07-22
Another Earth,1321194,175000,Brit Marling,2,Rhoda Williams,Mike Cahill,Drama,Original Screenplay,Science Fiction,Live Action,0,2011-07-22
Another Earth,1321194,175000,Jordan Baker,3,Kim Williams,Mike Cahill,Drama,Original Screenplay,Science Fiction,Live Action,0,2011-07-22
Another Year,3205706,8000000,Jim Broadbent,1,Tom,Mike Leigh,Drama,Original Screenplay,Contemporary Fiction,Live Action,0,2010-12-29
Another Year,3205706,8000000,Lesley Manville,3,Mary,Mike Leigh,Drama,Original Screenplay,Contemporary Fiction,Live Action,0,2010-12-29
Another Year,3205706,8000000,Ruth Sheen,2,Gerri,Mike Leigh,Drama,Original Screenplay,Contemporary Fiction,Live Action,0,2010-12-29
Apollo 13,172070496,65000000,Bill Paxton,3,Fred Haise,Ron Howard,Drama,Based on Factual Book/Article,Dramatization,Live Action,0,1995-06-30
Apollo 13,172070496,65000000,Kevin Bacon,2,Jack Swigert,Ron Howard,Drama,Based on Factual Book/Article,Dramatization,Live Action,0,1995-06-30
Apollo 13,172070496,65000000,Tom Hanks,1,Jim Lovell,Ron Howard,Drama,Based on Factual Book/Article,Dramatization,Live Action,0,1995-06-30
Apollo 18,17686929,5000000,Warren Christie,1,Ben,Gonzolo Lopez-Gallego,Thriller/Suspense,Original Screenplay,Science Fiction,Live Action,0,2011-09-02
Apollo 18,17686929,5000000,Lloyd Owen,2,Nate,Gonzolo Lopez-Gallego,Thriller/Suspense,Original Screenplay,Science Fiction,Live Action,0,2011-09-02
Apollo 18,17686929,5000000,Ryan Robbins,3,John,Gonzolo Lopez-Gallego,Thriller/Suspense,Original Screenplay,Science Fiction,Live Action,0,2011-09-02
Appaloosa,20211394,20000000,Ed Harris,1,Virgil Cole,Ed Harris,Western,Based on Fiction Book/Short Story,Historical Fiction,Live Action,0,2008-09-19
Appaloosa,20211394,20000000,Viggo Mortensen,2,Everett Hitch,Ed Harris,Western,Based on Fiction Book/Short Story,Historical Fiction,Live Action,0,2008-09-19
Appaloosa,20211394,20000000,Renee Zellweger,3,Allison French,Ed Harris,Western,Based on Fiction Book/Short Story,Historical Fiction,Live Action,0,2008-09-19
Arachnophobia,53208180,31000000,Harley Jane Kozak,2,Molly Jennings,Frank Marshall,Thriller/Suspense,Original Screenplay,Science Fiction,Live Action,0,1990-07-18
Arachnophobia,53208180,31000000,Jeff Daniels,1,Ross Jennings,Frank Marshall,Thriller/Suspense,Original Screenplay,Science Fiction,Live Action,0,1990-07-18
Arachnophobia,53208180,31000000,John Goodman,3,Delbert McClintock,Frank Marshall,Thriller/Suspense,Original Screenplay,Science Fiction,Live Action,0,1990-07-18
Argo,136025503,44500000,Ben Affleck,1,Tony Mendez,Ben Affleck,Thriller/Suspense,Based on Factual Book/Article,Historical Fiction,Live Action,0,2012-10-12
Argo,136025503,44500000,Alan Arkin,2,Lester Siegel,Ben Affleck,Thriller/Suspense,Based on Factual Book/Article,Historical Fiction,Live Action,0,2012-10-12
Argo,136025503,44500000,Bryan Cranston,3,Jack O'Donnell,Ben Affleck,Thriller/Suspense,Based on Factual Book/Article,Historical Fiction,Live Action,0,2012-10-12
Arlington Road,24419219,21500000,Joan Cusack,3,Cheryl Lang,Mark Pellington,Thriller/Suspense,Original Screenplay,Contemporary Fiction,Live Action,0,1999-07-09
Arlington Road,24419219,21500000,Tim Robbins,2,Oliver Lang,Mark Pellington,Thriller/Suspense,Original Screenplay,Contemporary Fiction,Live Action,0,1999-07-09
